id,percentage
101,0.7601902173913043
102,0.7006446414182111
103,0.7343854936198791
104,0.7912581699346405
105,0.7756010685663401
106,0.8145608880182827
107,0.8532338308457711
108,0.8368794326241135
109,0.7781350482315113
110,0.822894815702727
111,0.7927927927927928
201,0.8287610619469027
202,0.7441222570532915
203,0.7872523686477175
204,0.7852975495915986
205,0.7589743589743589
206,0.7650602409638554
207,0.7305833064776023
208,0.7606669936243257
209,0.7696078431372549
210,0.7593486127864898
211,0.7923217550274223
212,0.7565740045078888
302,0.7639902676399026
303,0.772972972972973
304,0.7537067545304778
305,0.7284020327498588
306,0.7343153300600109
307,0.7329711659005432
308,0.7580591558657361
309,0.7575566750629723
310,0.7096551724137931
ALEXANDRIA CITY PROVISIONALS,0.7030344357313331
